cor_folha,umidade_solo,tamanho_cm,diagnostico
marrom,15.0,38.4,Sede
verde,71.3,35.5,Saudavel
verde,58.1,6.4,Saudavel
marrom,59.2,30.3,Doente
marrom,54.0,14.9,Doente
verde,73.3,12.2,Saudavel
amarela,19.0,48.1,Sede
verde,39.2,21.2,Saudavel
amarela,77.6,37.8,Saudavel
amarela,12.1,18.2,Sede
amarela,57.0,36.7,Saudavel
amarela,93.7,43.5,Saudavel
amarela,30.0,33.6,Saudavel
amarela,37.0,35.2,Saudavel
marrom,63.3,32.4,Doente
marrom,27.0,25.8,Sede
marrom,66.9,14.9,Doente
verde,25.6,6.4,Sede
amarela,11.0,46.1,Sede
marrom,33.3,34.5,Doente
marrom,46.3,16.9,Doente
marrom,53.5,38.6,Doente
marrom,40.9,14.9,Doente
marrom,49.4,39.0,Doente
verde,61.5,40.6,Saudavel
verde,39.6,31.8,Saudavel
amarela,92.4,43.7,Doente
verde,66.4,29.2,Saudavel
marrom,35.6,18.2,Doente
verde,90.8,44.4,Saudavel
marrom,73.6,27.8,Doente
marrom,31.9,33.8,Doente
verde,38.7,12.3,Saudavel
marrom,87.7,32.0,Doente
verde,88.6,44.5,Saudavel
amarela,26.6,15.8,Sede
verde,12.7,26.9,Doente
verde,16.6,26.4,Sede
amarela,52.5,32.3,Saudavel
marrom,73.0,36.0,Doente
amarela,94.6,34.2,Saudavel
marrom,45.6,16.2,Saudavel
marrom,54.9,31.5,Doente
marrom,10.3,8.0,Sede
verde,51.3,17.5,Saudavel
marrom,16.9,47.1,Sede
amarela,26.9,26.3,Sede
verde,13.7,24.4,Sede
amarela,82.7,7.4,Doente
marrom,13.9,23.1,Sede
verde,27.4,13.6,Sede
amarela,21.5,25.8,Sede
verde,44.9,43.8,Saudavel
verde,63.7,29.3,Saudavel
verde,20.0,26.9,Sede
amarela,86.2,12.4,Sede
amarela,88.4,40.3,Saudavel
marrom,91.2,49.8,Doente
marrom,48.8,13.5,Doente
verde,57.1,29.4,Saudavel
verde,9.5,26.5,Sede
marrom,19.2,48.2,Saudavel
verde,58.6,35.4,Saudavel
verde,89.7,30.6,Saudavel
verde,60.7,23.9,Saudavel
marrom,33.5,16.7,Doente
amarela,26.5,22.8,Sede
amarela,46.2,46.8,Saudavel
verde,46.2,49.9,Saudavel
verde,53.4,27.8,Saudavel
amarela,84.3,44.6,Saudavel
verde,44.4,29.4,Saudavel
marrom,52.6,35.1,Doente
marrom,14.3,44.5,Sede
verde,71.8,12.0,Saudavel
verde,69.6,14.2,Saudavel
amarela,50.5,16.3,Doente
verde,13.3,24.1,Sede
verde,35.0,10.9,Saudavel
verde,71.7,29.8,Saudavel
verde,15.1,47.5,Sede
verde,54.1,42.6,Saudavel
verde,43.7,6.9,Saudavel
verde,85.9,14.5,Saudavel
verde,36.8,30.2,Saudavel
marrom,72.5,46.7,Doente
verde,92.9,41.5,Saudavel
verde,21.1,46.6,Sede
amarela,77.2,43.9,Saudavel
amarela,19.3,36.6,Sede
verde,82.3,15.0,Saudavel
amarela,36.5,41.9,Saudavel
verde,7.1,13.7,Sede
verde,92.0,17.6,Saudavel
amarela,66.2,43.0,Saudavel
verde,15.4,48.7,Sede
amarela,8.4,31.8,Sede
amarela,44.3,49.3,Saudavel
marrom,22.1,7.0,Sede
marrom,88.3,29.2,Doente
